0.16: Dealer 1: Auto 0(Body: 0, Motor: 0, Accessory: 0)
1.03: Dealer 0: Auto 1(Body: 1, Motor: 1, Accessory: 3)
2.02: Dealer 2: Auto 2(Body: 2, Motor: 2, Accessory: 2)
3.14: Dealer 0: Auto 3(Body: 3, Motor: 3, Accessory: 1)
4.08: Dealer 2: Auto 4(Body: 4, Motor: 4, Accessory: 4)
5.05: Dealer 1: Auto 5(Body: 5, Motor: 5, Accessory: 5)
6.04: Dealer 0: Auto 6(Body: 6, Motor: 6, Accessory: 5)
7.09: Dealer 0: Auto 7(Body: 7, Motor: 7, Accessory: 6)
8.01: Dealer 2: Auto 8(Body: 8, Motor: 8, Accessory: 7)
9.03: Dealer 1: Auto 9(Body: 9, Motor: 9, Accessory: 8)
11.09: Dealer 0: Auto 10(Body: 10, Motor: 10, Accessory: 9)
13.64: Dealer 1: Auto 11(Body: 11, Motor: 11, Accessory: 10)
15.15: Dealer 0: Auto 12(Body: 12, Motor: 12, Accessory: 11)
17.32: Dealer 2: Auto 13(Body: 13, Motor: 13, Accessory: 12)
19.12: Dealer 1: Auto 14(Body: 14, Motor: 14, Accessory: 13)
21.03: Dealer 0: Auto 15(Body: 15, Motor: 15, Accessory: 14)
23.05: Dealer 2: Auto 16(Body: 16, Motor: 16, Accessory: 15)
0.08: Dealer 2: Auto 0(Body: 0, Motor: 0, Accessory: 0)
1.02: Dealer 0: Auto 1(Body: 1, Motor: 1, Accessory: 4)
2.03: Dealer 2: Auto 2(Body: 2, Motor: 2, Accessory: 3)
3.16: Dealer 0: Auto 3(Body: 3, Motor: 3, Accessory: 2)
4.05: Dealer 2: Auto 4(Body: 4, Motor: 4, Accessory: 1)
5.09: Dealer 0: Auto 5(Body: 5, Motor: 5, Accessory: 5)
6.09: Dealer 1: Auto 6(Body: 6, Motor: 6, Accessory: 6)
7.02: Dealer 2: Auto 7(Body: 7, Motor: 7, Accessory: 7)
0.02: Dealer 2: Auto 0(Body: 0, Motor: 0, Accessory: 0)
1.01: Dealer 0: Auto 1(Body: 1, Motor: 1, Accessory: 1)
2.12: Dealer 2: Auto 2(Body: 2, Motor: 2, Accessory: 2)
3.0: Dealer 0: Auto 3(Body: 3, Motor: 3, Accessory: 3)
4.02: Dealer 1: Auto 4(Body: 4, Motor: 4, Accessory: 4)
5.05: Dealer 2: Auto 5(Body: 5, Motor: 5, Accessory: 5)
6.05: Dealer 1: Auto 6(Body: 6, Motor: 6, Accessory: 7)
7.61: Dealer 2: Auto 7(Body: 7, Motor: 7, Accessory: 8)
8.15: Dealer 1: Auto 8(Body: 8, Motor: 8, Accessory: 5)
9.11: Dealer 0: Auto 9(Body: 9, Motor: 9, Accessory: 6)
10.01: Dealer 1: Auto 10(Body: 10, Motor: 10, Accessory: 6)
11.07: Dealer 1: Auto 11(Body: 11, Motor: 11, Accessory: 7)
12.23: Dealer 2: Auto 12(Body: 12, Motor: 12, Accessory: 8)
13.25: Dealer 1: Auto 13(Body: 13, Motor: 13, Accessory: 9)
14.06: Dealer 0: Auto 14(Body: 14, Motor: 14, Accessory: 10)
0.03: Dealer 2: Auto 0(Body: 0, Motor: 0, Accessory: 0)
1.03: Dealer 0: Auto 1(Body: 1, Motor: 1, Accessory: 4)
2.27: Dealer 1: Auto 2(Body: 2, Motor: 2, Accessory: 3)
3.53: Dealer 2: Auto 3(Body: 3, Motor: 3, Accessory: 2)
4.44: Dealer 1: Auto 4(Body: 4, Motor: 4, Accessory: 1)
5.17: Dealer 2: Auto 5(Body: 5, Motor: 5, Accessory: 5)
7.35: Dealer 0: Auto 6(Body: 6, Motor: 6, Accessory: 6)
7.35: Dealer 2: Auto 7(Body: 7, Motor: 7, Accessory: 7)
8.33: Dealer 1: Auto 8(Body: 8, Motor: 8, Accessory: 8)
9.52: Dealer 0: Auto 9(Body: 9, Motor: 9, Accessory: 9)
10.24: Dealer 2: Auto 10(Body: 10, Motor: 10, Accessory: 10)
11.41: Dealer 0: Auto 11(Body: 11, Motor: 11, Accessory: 10)
12.22: Dealer 1: Auto 12(Body: 12, Motor: 12, Accessory: 11)
13.73: Dealer 0: Auto 13(Body: 13, Motor: 13, Accessory: 12)
14.01: Dealer 1: Auto 14(Body: 14, Motor: 14, Accessory: 13)
15.2: Dealer 1: Auto 15(Body: 15, Motor: 15, Accessory: 14)
16.68: Dealer 2: Auto 16(Body: 16, Motor: 16, Accessory: 14)
17.31: Dealer 0: Auto 17(Body: 17, Motor: 17, Accessory: 15)
18.09: Dealer 1: Auto 18(Body: 18, Motor: 18, Accessory: 14)
19.05: Dealer 2: Auto 19(Body: 19, Motor: 19, Accessory: 16)
21.02: Dealer 1: Auto 20(Body: 20, Motor: 20, Accessory: 17)
